winner,loser,winner_elo,loser_elo,score,result,dominance
Missouri,Central Arkansas,2287.9743862208447,1039.0529844022458,61-6 (H: Missouri),Win for Missouri,0.998
San Diego State,Stony Brook,1995.419863182481,1110.1190409406847,42-0 (H: San Diego State),Win for San Diego State,0.994
Illinois,Western Illinois,2307.942232172189,956.7693969680166,52-3 (H: Illinois),Win for Illinois,0.997
Navy,VMI,2168.3584854333203,400.8245840899072,52-7 (H: Navy),Win for Navy,0.996
North Dakota State,The Citadel,2078.990733673222,910.0137215086932,38-0 (A: North Dakota State),Win for North Dakota State,0.992
Pittsburgh,Duquesne,2180.8441431518245,1034.9384337514289,61-9 (H: Pittsburgh),Win for Pittsburgh,0.998
Louisville,Eastern Kentucky,2168.3334272553743,1155.8335619131567,51-17 (H: Louisville),Win for Louisville,0.988
Memphis,Chattanooga,2038.574856635344,1060.1688441820393,45-10 (H: Memphis),Win for Memphis,0.989
Vanderbilt,Charleston Southern,2515.2381064618435,1095.0099400729948,45-3 (H: Vanderbilt),Win for Vanderbilt,0.995
Texas Tech,Arkansas-Pine Bluff,2709.802008456966,645.014125488302,67-7 (H: Texas Tech),Win for Texas Tech,0.999
Ole Miss,Georgia State,2596.0524870160943,1225.684394419795,63-7 (H: Ole Miss),Win for Ole Miss,0.999
BYU,Portland State,2560.4585591431637,902.8550348587833,69-0 (H: BYU),Win for BYU,1.0
Northwestern,Western Illinois,2076.800498237168,956.7693969680166,42-7 (H: Northwestern),Win for Northwestern,0.99
Boise State,Eastern Washington,2073.7707259967747,1219.8871887092726,51-14 (H: Boise State),Win for Boise State,0.99
North Dakota State,Tennessee State,2078.990733673222,550.9566838182792,59-3 (A: North Dakota State),Win for North Dakota State,0.998
Ohio State,Grambling,2799.55636300886,976.6546862571302,70-0 (H: Ohio State),Win for Ohio State,1.0
East Carolina,Campbell,2104.1421018977085,691.9950320313914,56-3 (H: East Carolina),Win for East Carolina,0.998
Old Dominion,North Carolina Central,2050.4833756036032,1064.1062498211695,54-6 (H: Old Dominion),Win for Old Dominion,0.996
Miami,Bethune-Cookman,2557.0873728923275,906.8966687454644,45-3 (H: Miami),Win for Miami,0.995
Alabama,UL Monroe,2536.6141215375765,1217.524560438226,73-0 (H: Alabama),Win for Alabama,1.0
Indiana,Indiana State,2929.7022751359746,1120.102018177623,73-0 (H: Indiana),Win for Indiana,1.0
Virginia,William & Mary,2241.7261753010425,1179.674176169226,55-16 (H: Virginia),Win for Virginia,0.992
Nebraska,Houston Christian,2068.0123651382414,588.4062771614097,59-7 (H: Nebraska),Win for Nebraska,0.998
Montana State,San Diego,2106.240335200379,1185.0160361851956,41-7 (H: Montana State),Win for Montana State,0.989
Cincinnati,Northwestern State,2064.386915201193,530.1719922920066,70-0 (H: Cincinnati),Win for Cincinnati,1.0
Iowa,Massachusetts,2362.347830604413,778.3698912265239,47-7 (H: Iowa),Win for Iowa,0.993
Vanderbilt,Georgia State,2515.2381064618435,1225.684394419795,70-21 (H: Vanderbilt),Win for Vanderbilt,0.997
Texas,Sam Houston,2387.045653696713,1142.5746646637665,55-0 (H: Texas),Win for Texas,0.999
Montana State,Eastern Washington,2106.240335200379,1219.8871887092726,57-3 (H: Montana State),Win for Montana State,0.998
Missouri,Massachusetts,2287.9743862208447,778.3698912265239,42-6 (H: Missouri),Win for Missouri,0.99
NC State,Campbell,2131.695417076403,691.9950320313914,56-10 (H: NC State),Win for NC State,0.996
Northwestern,UL Monroe,2076.800498237168,1217.524560438226,42-7 (H: Northwestern),Win for Northwestern,0.987
Ole Miss,The Citadel,2596.0524870160943,910.0137215086932,49-0 (H: Ole Miss),Win for Ole Miss,0.997
Texas A&M,Samford,2598.349321693174,804.2233142138155,48-0 (H: Texas A&M),Win for Texas A&M,0.997
Alabama,Eastern Illinois,2536.6141215375765,904.1045754904648,56-0 (H: Alabama),Win for Alabama,0.999
North Dakota State,St. Thomas (MN),2078.990733673222,1182.2235281554536,62-7 (H: North Dakota State),Win for North Dakota State,0.999
Clemson,Furman,2041.8448376844603,990.7782009825652,45-10 (H: Clemson),Win for Clemson,0.989
